2026-02-05 16:22:10 | INFO | demo | Logger initialized. fixed=reports/logs/demo.log | hist=reports/logs/demo_20260205_162210.log
2026-02-05 16:22:10 | INFO | demo | === 开始演示电商网站自动化测试 ===
2026-02-05 16:22:21 | INFO | demo | 1. 登录网站...
2026-02-05 16:22:25 | INFO | demo | ✓ 登录成功
2026-02-05 16:22:26 | INFO | demo | 2. 浏览商品...
2026-02-05 16:22:26 | INFO | demo | ✓ 找到 6 个商品
2026-02-05 16:22:26 | INFO | demo | 3. 添加商品到购物车...
2026-02-05 16:22:26 | INFO | demo | ✓ 已添加商品到购物车，购物车数量: 1
2026-02-05 16:22:27 | INFO | demo | 4. 查看购物车...
2026-02-05 16:22:27 | INFO | demo | ✓ 购物车中有 1 个商品
2026-02-05 16:22:28 | INFO | demo | 5. 返回首页...
2026-02-05 16:22:29 | INFO | demo | 6. 登出...
2026-02-05 16:22:30 | INFO | demo | ✓ 登出成功
2026-02-05 16:22:30 | INFO | demo | === 演示完成 ===
2026-02-05 16:22:32 | INFO | demo | 浏览器已关闭
